 Sigla , Data de abertura , SHOPPING/STREET , Salão de Vendas - m² , Cidade , Local , Estado , Região 
 SPD ,1/3/2007, SHOPPING MALL , 1.040 , SÃO PAULO , SHOPPING D , SP , Sudeste 
 BRI ,28/4/2007, SHOPPING MALL , 1.278 , SÃO VICENTE , SHOPPING BRISAMAR , SP , Sudeste 
 BUG ,3/5/2007, SHOPPING MALL , 1.012 , GUARATINGUETA , BURITI SHOPPING GUARÁ , SP , Sudeste 
 SVS ,22/5/2007, SHOPPING MALL , 2.467 , SALVADOR , SHOPPING SALVADOR , BA , Nordeste 
 FOB ,31/5/2007, SHOPPING MALL , 1.479 , FORTALEZA , SHOPPING BENFICA , CE , Nordeste 
 FEC ,14/6/2007, STREET , 1.951 , FEIRA DE SANTANA , FEIRA DE SANTANA CENTRO , BA , Nordeste 
 MOG ,16/6/2007, SHOPPING MALL , 1.054 , MOGI DAS CRUZES , SHOPPING MOGI , SP , Sudeste 
 RCF ,26/9/2007, SHOPPING MALL , 1.677 , RECIFE , PLAZA SHOPPING CASA FORTE , PE , Nordeste 
 VSU ,4/10/2007, SHOPPING MALL , 1.208 , SÃO JOSÉ DOS CAMPOS  , SHOPPING VALE SUL , SP , Sudeste 
 SAN ,25/10/2007, SHOPPING MALL , 1.635 , SÃO PAULO , SANTANA PARQUE SHOPPING , SP , Sudeste 
 BCA ,27/10/2007, SHOPPING MALL , 1.646 , CAMBURIU , SHOPP. BALNEARIO CAMBURIU , SC , Sul 
 ALC ,29/10/2007, STREET , 1.890 , SÃO GONÇALO , ALCANTARA CENTRO , RJ , Sudeste 
 BAN ,30/10/2007, SHOPPING MALL , 2.070 , RIO DE JANEIRO , BANGÚ SHOPPING , RJ , Sudeste 
 SIT ,7/11/2007, SHOPPING MALL , 2.084 , SÃO PAULO , SHOPPING METRO ITAQUERA , SP , Sudeste 
 PAN ,22/11/2007, SHOPPING MALL , 1.893 , CUIABÁ , SHOPPING PANTANAL , MT , Centro oeste 
 BON ,28/11/2007, STREET , 1.790 , RIO DE JANEIRO , BONSUCESSO CENTRO , RJ , Sudeste 
