,,,,Indicadores de Liquidez,,
,SETOR ECONÔMICO,Empresa,Descrição,Índice pré adoção,Índice pós adoção,Variação
,Consumo Cíclico,CURY S/A,Liquidez Geral,"1,41341857524238","0,457880617507352","-0,955537957735025"
,Consumo Cíclico,CVC BRASIL,Liquidez Geral,"1,13770986473096","1,11662397455183","-0,021085890179127"
,Consumo Cíclico,CYRELA REALT,Liquidez Geral,"2,06384381807857","2,05694508633603","-0,006898731742538"
,Saúde,D1000VFARMA,Liquidez Geral,"0,569857830772759","0,428958565276303","-0,140899265496455"
,Saúde,DASA        ,Liquidez Geral,"0,667882227762151","0,529305307017891","-0,13857692074426"
,Consumo Cíclico,DIRECIONAL  ,Liquidez Geral,"1,3862028984084","1,36940063770526","-0,01680226070314"
,"Petróleo, Gás e Biocombustíveis",DOMMO,Liquidez Geral,"0,387483617751809","0,174732420569815","-0,212751197181994"
,Bens Industriais,DTCOM-DIRECT,Liquidez Geral,"0,500868055555556","0,449643758349414","-0,051224297206142"
,Materiais Básicos,DURATEX     ,Liquidez Geral,"1,19046992247355","1,0788252162765","-0,111644706197046"
,Utilidade Pública,ELETROBRAS  ,Liquidez Geral,"0,960108692196867","0,957506739704409","-0,002601952492458"
,Bens Industriais,EMBRAER     ,Liquidez Geral,"1,5837799008233","1,57156038685754","-0,012219513965767"
,"Petróleo, Gás e Biocombustíveis",ENAUTA PART,Liquidez Geral,"3,53579023208674","1,7733514279512","-1,76243880413554"
,Utilidade Pública,ENERGIAS BR ,Liquidez Geral,"0,896893526927679","0,896300486580505","-0,000593040347174"
,Utilidade Pública,ENERGISA    ,Liquidez Geral,"0,71077549646894","0,709847777250323","-0,000927719218617"
,Utilidade Pública,ENEVA,Liquidez Geral,"0,486334822854875","0,478831267646066","-0,007503555208809"
,Utilidade Pública,ENGIE BRASIL,Liquidez Geral,"0,447157468219293","0,444822215068365","-0,002335253150928"
,Utilidade Pública,EQUATORIAL  ,Liquidez Geral,"1,01954622258862","1,0167637534391","-0,002782469149527"
,Consumo Cíclico,ESPACOLASER,Liquidez Geral,"0,691791437262916","0,621067971368918","-0,070723465893998"
,Bens Industriais,ESTAPAR,Liquidez Geral,"0,418744789590054","0,164531694625002","-0,254213094965052"
,Bens Industriais,ETERNIT     ,Liquidez Geral,"0,689821615195929","0,674670525753786","-0,015151089442142"
,Materiais Básicos,EUCATEX     ,Liquidez Geral,"0,228091586612884","0,19394603008672","-0,034145556526164"
